









Frequency of observations in the selected location(s).:
Number of taxa: 	1011

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Trumpeter/Tundra Swan	0.0	0.0	0.0	0.0	5.54E-5	2.31E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.06E-5	3.56E-5	2.2E-5	
swan sp.	0.0	0.0	4.91E-5	1.99E-5	0.0	0.0	0.0	2.65E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	1.19E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Egyptian Goose	0.0081502	0.0077637	0.0060651	0.0074771	0.0088971	0.0096593	0.0066539	0.0077746	0.0075323	0.0072176	0.0068945	0.0072828	0.0070305	0.0055234	0.0046644	0.0036051	0.004754	0.0047311	0.00481	0.004037	0.0049264	0.0051082	0.0040196	0.0055174	0.0056183	0.0057372	0.0055622	0.0051154	0.0052832	0.0057454	0.0061032	0.0051889	0.0057301	0.0047717	0.0043262	0.0057629	0.005558	0.0055822	0.0074591	0.0064705	0.0056083	0.0044926	0.0059496	0.0065719	0.0048682	0.0059239	0.0061581	0.0083619	
Muscovy Duck	1.247E-4	5.32E-5	1.473E-4	1.79E-4	3.88E-4	4.15E-4	1.501E-4	1.857E-4	3.175E-4	3.514E-4	4.041E-4	3.166E-4	4.571E-4	6.584E-4	3.421E-4	4.388E-4	2.255E-4	4.59E-5	1.808E-4	2.375E-4	1.589E-4	1.053E-4	2.364E-4	4.84E-5	2.416E-4	3.187E-4	1.986E-4	1.811E-4	6.14E-5	0.0	0.0	0.0015	0.0015	5.13E-5	4.97E-5	3.82E-5	0.0	0.0	4.78E-5	1.044E-4	1.079E-4	2.586E-4	3.84E-5	1.48E-4	4.2E-5	0.0	2.136E-4	1.76E-4	
Muscovy Duck (Domestic type)	0.0178805	0.0189838	0.0169184	0.0175194	0.0183486	0.0184886	0.0147086	0.0159471	0.0174598	0.0174087	0.0145466	0.0137657	0.0127985	0.0103702	0.0094687	0.008242	0.0108422	0.0119655	0.0118983	0.0106863	0.0145672	0.0120596	0.013182	0.0134063	0.0125053	0.016128	0.0124487	0.0128565	0.0135152	0.0139704	0.0142409	0.0129162	0.0110156	0.012981	0.011089	0.0127853	0.0148701	0.0157183	0.0165439	0.0157935	0.0162137	0.0175178	0.0167358	0.0164002	0.0164932	0.0175282	0.018154	0.0176481	
Ringed Teal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.19E-5	0.0	0.0	2.649E-4	1.58E-4	0.0	1.452E-4	2.416E-4	0.0	6.62E-5	0.0	1.843E-4	0.0	0.0	0.0	0.0	0.0	0.0	3.82E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Wood Duck	0.0249496	0.0269868	0.0247268	0.0253346	0.0297403	0.0301766	0.0273493	0.0346539	0.0380941	0.0407915	0.0382352	0.0385141	0.0369371	0.0311288	0.0285772	0.0306674	0.0382765	0.041592	0.0446277	0.0343149	0.0386164	0.0374427	0.0344624	0.0341206	0.0342536	0.0357621	0.0335055	0.0326845	0.0338494	0.0335652	0.03505	0.0341944	0.0383817	0.0379169	0.0353555	0.0345012	0.0362732	0.0394672	0.0340442	0.0318305	0.0257765	0.0251454	0.0282128	0.0264062	0.0262716	0.031851	0.0397252	0.0266482	
Garganey	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	1.83E-5	8.862E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Blue-winged Teal	0.0769279	0.0785674	0.0853284	0.0850319	0.087059	0.0854581	0.0774785	0.1287712	0.1321751	0.1521099	0.1614769	0.1784381	0.1877762	0.1957532	0.1822069	0.1522105	0.1135518	0.0874328	0.071426	0.0431311	0.0304058	0.0221707	0.0199799	0.0157778	0.0158884	0.0135144	0.0116541	0.0111815	0.0155424	0.0267917	0.0406882	0.0625653	0.0797273	0.0906106	0.0866236	0.10129	0.0993613	0.1132602	0.1011762	0.0918389	0.1074202	0.1159987	0.0806464	0.0775311	0.0718063	0.0736022	0.0848966	0.0785142	
Cinnamon Teal	0.0187122	0.0236899	0.026814	0.028218	0.0293245	0.0271105	0.0229134	0.0364317	0.0339096	0.0355473	0.0297497	0.025365	0.0210696	0.0149974	0.0117076	0.0083369	0.0062573	0.0035827	0.0030017	0.0021373	0.0032313	0.0014745	0.0010049	0.0012583	0.0012687	8.287E-4	0.0021189	0.0022182	0.0019044	0.0028425	0.0030226	0.003621	0.003853	0.0050795	0.0037295	0.0043508	0.0039979	0.0042601	0.0044946	0.0052877	0.0132657	0.0179056	0.012667	0.0136767	0.0151922	0.0159458	0.0149859	0.0184623	
